Year,Code,Constituency,PC_Electors,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %,Probability,Normalised population,Index
2017,W07000041,Ynys M“n,52921,Wales,Lab,Labour,15643,41.86%,37367,Lab,5259,14.07%,0.103371528,1.361293248,0.281437926
2017,E14000738,Hazel Grove,63166,North West,C,Conservative,20047,45.43%,44132,C,5514,12.49%,0.123376735,1.140502802,0.281423023
2017,E14000722,Halesowen and Rowley Regis,68856,West Midlands,C,Conservative,23012,51.85%,44379,C,5253,11.84%,0.132807405,1.046255954,0.277901076
2017,E14000712,Gloucester,82965,South West,C,Conservative,27208,50.32%,54071,C,5520,10.21%,0.159369045,0.868330019,0.276769851
2017,E14000667,Don Valley,73990,Yorkshire and The Humber,Lab,Labour,24351,52.95%,45988,Lab,5169,11.24%,0.141987719,0.973658603,0.276495128
2017,E14000644,Colchester,79996,East,C,Conservative,24565,45.88%,53545,C,5677,10.60%,0.152497899,0.900557528,0.274666262
2017,E14000577,Bolsover,73429,East Midlands,Lab,Labour,24153,51.92%,46519,Lab,5288,11.37%,0.139974392,0.981097387,0.274657021
2017,E14001030,West Bromwich West,65967,West Midlands,Lab,Labour,18789,52.06%,36094,Lab,4460,12.36%,0.1252944,1.092076341,0.2736621
2017,W07000061,Dwyfor Meirionnydd,44699,Wales,PC,Plaid Cymru,13687,45.10%,30348,PC,4850,15.98%,0.083488117,1.611691537,0.269114185
2017,E14001026,Wells,82451,South West,C,Conservative,30488,49.30%,61843,C,6582,10.64%,0.151802925,0.873743193,0.265273544
2017,E14000612,Bury South,73715,North West,Lab,Labour,27165,53.28%,50990,Lab,5965,11.70%,0.134880663,0.977290918,0.263635294
2017,E14000899,Rochford and Southend East,73501,East,C,Conservative,23013,48.71%,47248,C,5548,11.74%,0.134218752,0.980136325,0.263105349
2017,W07000056,Newport West,64399,Wales,Lab,Labour,22723,52.31%,43438,Lab,5658,13.03%,0.116251553,1.118666439,0.260093421
2017,E14000926,Shrewsbury and Atcham,79043,West Midlands,C,Conservative,29073,49.95%,58203,C,6627,11.39%,0.139682901,0.911415306,0.254618268
2017,E14000532,Altrincham and Sale West,73226,North West,C,Conservative,26933,51.02%,52790,C,6426,12.17%,0.127901314,0.983817223,0.25166303
2017,S14000016,Dundee West,62644,Scotland,SNP,Scottish National Party,18045,46.66%,38677,SNP,5262,13.60%,0.108945722,1.150006385,0.250576551
2017,E14000690,Eltham,64474,London,Lab,Labour,25128,54.44%,46155,Lab,6296,13.64%,0.108507247,1.117365139,0.242484429
2017,E14000670,Dover,74564,South East,C,Conservative,27211,52.36%,51966,C,6437,12.39%,0.124869629,0.966163296,0.241288904
2017,S14000055,"Ross, Skye and Lochaber",53638,Scotland,SNP,Scottish National Party,15480,40.26%,38454,SNP,5919,15.39%,0.089180054,1.343096312,0.239554803
2017,E14001056,Wycombe,77087,South East,C,Conservative,26766,50.04%,53493,C,6578,12.30%,0.126134811,0.934541492,0.235756428
2017,E14000948,South Thanet,72334,South East,C,Conservative,25262,50.89%,49638,C,6387,12.87%,0.11833107,0.995949346,0.235703504
2017,S14000051,Orkney and Shetland,34164,Scotland,LD,Lib Dem,11312,48.60%,23277,LD,4563,19.60%,0.055649185,2.108681653,0.234692832
2017,E14000758,Hyndburn,73111,North West,Lab,Labour,24120,53.36%,45202,Lab,5815,12.86%,0.118366636,0.985364719,0.233268615
2017,E14000915,Sedgefield,63889,North East,Lab,Labour,22202,53.38%,41591,Lab,6059,14.57%,0.097805995,1.1275963,0.220571356
2017,S14000040,Kilmarnock and Loudoun,73327,Scotland,SNP,Scottish National Party,19690,42.34%,46509,SNP,6269,13.48%,0.110492495,0.982462122,0.217109383
2017,E14000837,North Cornwall,68844,South West,C,Conservative,25835,50.71%,50944,C,7200,14.13%,0.102687821,1.046438324,0.214912943
2017,E14000776,Lancaster and Fleetwood,67154,North West,Lab,Labour,25342,55.10%,45989,Lab,6661,14.48%,0.098732235,1.072773029,0.211834557
2017,E14000943,South Ribble,75752,North West,C,Conservative,28980,52.85%,54834,C,7421,13.53%,0.109820565,0.951011194,0.208881173
2017,E14000880,"Plymouth, Sutton and Devonport",76584,South West,Lab,Labour,23808,53.36%,44621,Lab,6002,13.45%,0.110840114,0.940679515,0.208530049
2017,E14000637,Chorley,76404,North West,Lab,Labour,30745,55.26%,55634,Lab,7512,13.50%,0.110203014,0.94289566,0.207819887
2017,E14000908,Rushcliffe,74738,East Midlands,C,Conservative,30223,51.83%,58311,C,8010,13.74%,0.107350488,0.963913939,0.206953263
2017,E14001027,Welwyn Hatfield,72888,East,C,Conservative,26374,51.04%,51669,C,7369,14.26%,0.101217453,0.988379431,0.200082498
2017,E14000965,Stafford,68445,West Midlands,C,Conservative,28424,54.74%,51924,C,7729,14.89%,0.094392707,1.052538535,0.198703922
2017,E14000678,East Devon,82369,South West,C,Conservative,29306,48.53%,60382,C,8036,13.31%,0.112622857,0.874613022,0.197002834
2017,S14000015,Dundee East,65854,Scotland,SNP,Scottish National Party,18391,42.84%,42928,SNP,6645,15.48%,0.088315398,1.093950254,0.193225303
2017,E14000609,Burnley,64709,North West,Lab,Labour,18832,46.74%,40290,Lab,6353,15.77%,0.085504744,1.113307268,0.190386106
2017,E14001062,York Outer,75835,Yorkshire and The Humber,C,Conservative,29356,51.12%,57427,C,8289,14.43%,0.099285811,0.94997033,0.188637149
2017,E14000774,Kingswood,69368,South West,C,Conservative,26754,54.89%,48741,C,7500,15.39%,0.089229617,1.038533618,0.185335913
2017,E14000729,Harlow,67699,East,C,Conservative,24230,54.03%,44846,C,7031,15.68%,0.086371787,1.064136841,0.183822801
2017,E14000892,Redditch,64413,West Midlands,C,Conservative,23652,52.43%,45113,C,7363,16.32%,0.080369075,1.1184233,0.179773293
2017,E14000560,"Birmingham, Edgbaston",68091,West Midlands,Lab,Labour,24124,55.51%,43457,Lab,6917,15.92%,0.084092481,1.058010603,0.177941474
2017,S14000058,West Aberdeenshire and Kincardine,72477,Scotland,C,Conservative,24704,47.85%,51626,C,7949,15.40%,0.089131489,0.993984298,0.177190602
2017,W07000054,Monmouth,64909,Wales,C,Conservative,26411,53.10%,49734,C,8206,16.50%,0.078777929,1.109876905,0.174867608
2017,E14000588,Bradford South,67752,Yorkshire and The Humber,Lab,Labour,22364,54.48%,41049,Lab,6700,16.32%,0.080362604,1.063304404,0.170899823
2017,E14000976,Stourbridge,70215,West Midlands,C,Conservative,25706,54.54%,47135,C,7654,16.24%,0.081117614,1.026005839,0.166454292
2017,E14000905,Rugby,72175,West Midlands,C,Conservative,27872,54.29%,51336,C,8212,16.00%,0.083345288,0.998143401,0.166381099
2017,E14001005,Twickenham,83362,London,LD,Lib Dem,34969,52.75%,66290,LD,9762,14.73%,0.096088857,0.864194717,0.166078965
2017,E14000851,North Swindon,80168,South West,C,Conservative,29431,53.60%,54911,C,8335,15.18%,0.091336273,0.898625387,0.164154187
2017,E14000747,Heywood and Middleton,79901,North West,Lab,Labour,26578,53.30%,49865,Lab,7617,15.28%,0.090358118,0.901628265,0.162938867
2017,E14000802,Macclesfield,75228,North West,C,Conservative,28595,52.65%,54307,C,8608,15.85%,0.084718829,0.957635455,0.162259508
2017,E14001043,Wirral South,57670,North West,Lab,Labour,25871,57.24%,45195,Lab,8323,18.42%,0.06356377,1.249193688,0.158806921
2017,E14000640,City of Chester,72859,North West,Lab,Labour,32073,56.80%,56471,Lab,9226,16.34%,0.080222025,0.988772835,0.158642719
2017,N06000017,Upper Bann,80168,Northern Ireland,DUP,Democratic Unionist Party,22317,43.54%,51258,DUP,7992,15.59%,0.087211508,0.898625387,0.156740951
2017,E14000584,Bournemouth East,74591,South West,C,Conservative,25221,51.88%,48618,C,7937,16.33%,0.080333154,0.96581357,0.155173701
2017,E14000651,Coventry South,70736,West Midlands,Lab,Labour,25874,55.04%,47009,Lab,7947,16.91%,0.075280224,1.01844888,0.15333812
2017,W07000068,Brecon and Radnorshire,56010,Wales,C,Conservative,20081,48.58%,41334,C,8038,19.45%,0.056633717,1.286216747,0.145686471
2017,E14000870,Oldham East and Saddleworth,72184,North West,Lab,Labour,25629,54.49%,47037,Lab,8182,17.39%,0.071263809,0.998018952,0.142245264
2017,E14000689,Elmet and Rothwell,80291,Yorkshire and The Humber,C,Conservative,32352,54.33%,59542,C,9805,16.47%,0.079064417,0.897248758,0.141880901
2017,E14000585,Bournemouth West,73195,South West,C,Conservative,23812,53.50%,44507,C,7711,17.33%,0.071820307,0.984233896,0.141375962
2017,E14000575,Blyth Valley,63415,North East,Lab,Labour,23770,55.94%,42490,Lab,7915,18.63%,0.062071187,1.1360246,0.141028791
2017,E14001041,Winchester,72497,South East,C,Conservative,29729,52.01%,57156,C,9999,17.49%,0.070474768,0.993710085,0.140062976
2017,E14000650,Coventry North West,75196,West Midlands,Lab,Labour,26894,53.95%,49849,Lab,8580,17.21%,0.072738173,0.958042981,0.139372592
2017,E14000533,Amber Valley,68065,East Midlands,C,Conservative,25905,56.55%,45811,C,8300,18.12%,0.065719858,1.058414751,0.139117735
2017,E14000548,Batley and Spen,80161,Yorkshire and The Humber,Lab,Labour,29844,55.49%,53780,Lab,8961,16.66%,0.077356713,0.898703858,0.139041553
2017,E14000618,Cannock Chase,74540,West Midlands,C,Conservative,26318,54.98%,47872,C,8391,17.53%,0.070208759,0.966474376,0.135709933
2017,E14000717,Great Yarmouth,71408,East,C,Conservative,23901,54.14%,44146,C,7973,18.06%,0.066143666,1.008864553,0.133460001
2017,E14000759,Ilford North,70791,London,Lab,Labour,30589,57.78%,52941,Lab,9639,18.21%,0.065066987,1.017657612,0.132431828
2017,E14000545,Basingstoke,81875,South East,C,Conservative,29510,52.73%,55960,C,9466,16.92%,0.075192752,0.879890076,0.132322713
2017,E14000854,North Warwickshire,72277,West Midlands,C,Conservative,26860,56.93%,47178,C,8510,18.04%,0.066310245,0.996734784,0.132187456
2017,E14000733,Hartlepool,70718,North East,Lab,Labour,21969,52.51%,41835,Lab,7650,18.29%,0.064493356,1.018708108,0.131399808
2017,E14000705,Forest of Dean,70898,South West,C,Conservative,28096,54.27%,51767,C,9502,18.36%,0.063995447,1.016121752,0.130054331
2017,E14000856,North West Durham,71918,North East,Lab,Labour,25308,52.83%,47902,Lab,8792,18.35%,0.064003928,1.001710281,0.128226785
2017,E14000629,Chelsea and Fulham,63728,London,C,Conservative,22179,52.65%,42128,C,8188,19.44%,0.056700078,1.130445016,0.128192641
2017,E14000739,Hemel Hempstead,74415,East,C,Conservative,28735,54.96%,52282,C,9445,18.07%,0.066106899,0.96809783,0.12799589
2017,E14000746,Hexham,61053,North East,C,Conservative,24996,54.08%,46224,C,9236,19.98%,0.05334287,1.179974776,0.125886482
2017,E14001022,Waveney,80763,East,C,Conservative,28643,54.38%,52674,C,9215,17.49%,0.070473401,0.892005002,0.125725253
2017,E14001054,Worsley and Eccles South,73689,North West,Lab,Labour,26046,57.07%,45642,Lab,8379,18.36%,0.063975608,0.977635739,0.125089681
2017,N06000001,Belfast East,63495,Northern Ireland,DUP,Democratic Unionist Party,23917,55.76%,42890,DUP,8474,19.76%,0.054694652,1.134593275,0.12411237
2017,E14001029,West Bromwich East,63846,West Midlands,Lab,Labour,22664,57.97%,39098,Lab,7713,19.73%,0.054879765,1.128355731,0.123847794
2017,E14000561,"Birmingham, Erdington",65067,West Midlands,Lab,Labour,21571,57.96%,37217,Lab,7285,19.57%,0.055828061,1.107181828,0.12362363
2017,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",67672,Scotland,C,Conservative,24177,49.38%,48964,C,9441,19.28%,0.0576897,1.064561414,0.122828457
2017,E14000672,Dudley South,61323,West Midlands,C,Conservative,21588,56.45%,38244,C,7730,20.21%,0.051978395,1.174779447,0.122126301
2017,E14000846,North East Somerset,71355,South West,C,Conservative,28992,53.65%,54043,C,10235,18.94%,0.059948288,1.009613902,0.12104925
2017,E14000992,The Wrekin,68604,West Midlands,C,Conservative,27451,55.43%,49523,C,9564,19.31%,0.057491514,1.05009912,0.120743577
2017,E14000967,Stalybridge and Hyde,71409,North West,Lab,Labour,24277,57.18%,42457,Lab,8084,19.04%,0.059268544,1.008850425,0.119586192
2017,E14000715,Gravesham,72954,South East,C,Conservative,27237,55.59%,48997,C,9347,19.08%,0.059028486,0.987485265,0.116579521
2017,E14000558,Bexleyheath and Crayford,65315,London,C,Conservative,25113,55.57%,45189,C,9073,20.08%,0.052766887,1.102977876,0.116401418
2017,E14000711,Gillingham and Rainham,72903,South East,C,Conservative,27091,55.44%,48868,C,9430,19.30%,0.057590486,0.98817607,0.11381908
2017,E14000597,"Brighton, Kemptown",67893,South East,Lab,Labour,28703,58.33%,49207,Lab,9868,20.05%,0.052907953,1.061096137,0.11228085
2017,E14001012,Walsall South,67417,West Midlands,Lab,Labour,25286,57.37%,44072,Lab,8892,20.18%,0.05218983,1.068588042,0.111538856
2017,E14000604,Bromley and Chislehurst,65117,London,C,Conservative,25175,53.95%,46662,C,9590,20.55%,0.05003776,1.10633168,0.110716718
2017,E14000970,Stockton North,66285,North East,Lab,Labour,24304,56.88%,42731,Lab,8715,20.40%,0.050925552,1.086837143,0.110695564
2017,W07000055,Newport East,57233,Wales,Lab,Labour,20804,56.50%,36820,Lab,8003,21.74%,0.043826361,1.258731851,0.110331272
2017,E14001017,Warrington North,71918,North West,Lab,Labour,27356,56.38%,48517,Lab,9582,19.75%,0.054742092,1.001710281,0.109671432
2017,E14000898,Rochester and Strood,82702,South East,C,Conservative,29232,55.40%,52769,C,9850,18.67%,0.061805151,0.871091388,0.10767587
2017,E14000656,Croydon South,83518,London,C,Conservative,33334,54.42%,61257,C,11406,18.62%,0.062126825,0.862580522,0.107178778
2017,E14000632,Chesterfield,72069,East Midlands,Lab,Labour,26266,54.80%,47927,Lab,9605,20.04%,0.052986004,0.999611483,0.105930836
2017,E14000610,Burton,73954,West Midlands,C,Conservative,28936,57.98%,49911,C,10047,20.13%,0.052460842,0.974132569,0.102207629
2017,E14000691,Enfield North,68076,London,Lab,Labour,28177,58.02%,48565,Lab,10247,21.10%,0.047061614,1.058243728,0.099605316
2017,E14000957,Southend West,67677,East,C,Conservative,26046,55.19%,47191,C,10000,21.19%,0.046584795,1.064482764,0.099177423
2017,E14000833,Newcastle upon Tyne North,66073,North East,Lab,Labour,26729,55.35%,48288,Lab,10349,21.43%,0.045342447,1.090324338,0.098875948
2017,E14000785,Leigh,76202,North West,Lab,Labour,26347,56.21%,46874,Lab,9554,20.38%,0.0509982,0.945395134,0.0964269
2017,N06000006,East Londonderry,67038,Northern Ireland,DUP,Democratic Unionist Party,19723,48.07%,41030,DUP,8842,21.55%,0.044745843,1.074629315,0.096170389
2017,E14000749,Hitchin and Harpenden,75916,East,C,Conservative,31189,53.00%,58846,C,12031,20.44%,0.050641957,0.948956742,0.096114052
2017,E14000883,Portsmouth North,71374,South East,C,Conservative,25860,54.78%,47210,C,9965,21.11%,0.047018103,1.00934514,0.094914987
2017,E14001006,Tynemouth,77434,North East,Lab,Labour,32395,56.98%,56858,Lab,11666,20.52%,0.050230209,0.930353591,0.09346371
2017,E14000593,Brentford and Isleworth,85164,London,Lab,Labour,35364,57.38%,61629,Lab,12182,19.77%,0.054638636,0.84590907,0.092438635
2017,S14000008,"Berwickshire, Roxburgh and Selkirk",73191,Scotland,C,Conservative,28213,53.88%,52367,C,11060,21.12%,0.046953086,0.984287686,0.092430689
2017,E14000769,Kettering,71440,East Midlands,C,Conservative,28616,57.92%,49404,C,10562,21.38%,0.045612349,1.008412654,0.09199214
2017,E14000961,St Austell and Newquay,78609,South West,C,Conservative,26856,49.54%,54212,C,11142,20.55%,0.050034454,0.916447226,0.091707872
2017,E14000539,Banbury,83824,South East,C,Conservative,33388,54.23%,61562,C,12399,20.14%,0.052397188,0.859431666,0.090063605
2017,E14000773,Kingston upon Hull West and Hessle,60181,Yorkshire and The Humber,Lab,Labour,18342,53.07%,34565,Lab,8025,23.22%,0.037124973,1.197072166,0.088882543
2017,E14000891,Redcar,66836,North East,Lab,Labour,23623,55.51%,42560,Lab,9485,22.29%,0.041204829,1.077877192,0.088827492
2017,E14001038,Weston-Super-Mare,82136,South West,C,Conservative,29982,53.15%,56415,C,11544,20.46%,0.050541364,0.877094088,0.088659063
2017,E14001033,West Lancashire,73257,North West,Lab,Labour,32030,58.89%,54389,Lab,11689,21.49%,0.045040521,0.983400904,0.088585779
2017,E14000643,Cleethorpes,72711,Yorkshire and The Humber,C,Conservative,27321,57.10%,47844,C,10400,21.74%,0.043817315,0.990785438,0.086827115
2017,E14001050,Wolverhampton South East,60301,West Midlands,Lab,Labour,21137,58.22%,36304,Lab,8514,23.45%,0.036161262,1.194689972,0.086402995
2017,E14000688,Ellesmere Port and Neston,68666,North West,Lab,Labour,30137,59.16%,50939,Lab,11390,22.36%,0.040865222,1.049150963,0.085747575
2017,E14000740,Hemsworth,71870,Yorkshire and The Humber,Lab,Labour,25740,56.02%,45944,Lab,10174,22.14%,0.041864614,1.002379296,0.083928445
2017,E14000696,Erith and Thamesmead,69724,London,Lab,Labour,25585,57.54%,44464,Lab,10014,22.52%,0.04013264,1.033231025,0.082932577
2017,E14000982,Sunderland Central,72728,North East,Lab,Labour,25056,55.54%,45111,Lab,9997,22.16%,0.041787121,0.990553844,0.082784788
2017,E14000852,North Thanet,72651,South East,C,Conservative,27163,56.21%,48325,C,10738,22.22%,0.041509621,0.991603694,0.082322186
2017,E14000728,Harborough,78810,East Midlands,C,Conservative,30135,52.32%,57598,C,12429,21.58%,0.044601798,0.914109885,0.08154189
2017,E14000814,Mid Derbyshire,67466,East Midlands,C,Conservative,29513,58.59%,50371,C,11616,23.06%,0.037780331,1.067811935,0.080684576
2017,E14000936,South Dorset,72323,South West,C,Conservative,29135,56.13%,51906,C,11695,22.53%,0.040089856,0.996100825,0.079867078
2017,N06000018,West Tyrone,64009,Northern Ireland,SF,Sinn Fein,22060,50.73%,43486,SF,10342,23.78%,0.034847557,1.125482354,0.07844062
2017,E14001055,Worthing West,77757,South East,C,Conservative,30181,55.37%,54503,C,12090,22.18%,0.041687211,0.926488933,0.07724548
2017,E14000646,Congleton,76694,North West,C,Conservative,31830,56.61%,56231,C,12619,22.44%,0.040494899,0.939330326,0.076076173
2017,E14000686,Eddisbury,70272,North West,C,Conservative,29192,56.88%,51319,C,11942,23.27%,0.036905224,1.025173611,0.075668523
2017,E14000966,Staffordshire Moorlands,63260,West Midlands,C,Conservative,25963,58.14%,44655,C,10830,24.25%,0.03305975,1.138808094,0.075297422
2017,E14000626,Chatham and Aylesford,70419,South East,C,Conservative,25587,57.00%,44890,C,10458,23.30%,0.036794556,1.023033556,0.075284132
2017,E14001014,Wansbeck,62151,North East,Lab,Labour,24338,57.33%,42454,Lab,10435,24.58%,0.031871082,1.159128574,0.073885363
2017,E14000935,South Derbyshire,76380,East Midlands,C,Conservative,30907,58.72%,52631,C,11970,22.74%,0.039148577,0.943191935,0.073849245
2017,E14000994,Thornbury and Yate,67892,South West,C,Conservative,28008,55.25%,50690,C,12071,23.81%,0.034726742,1.061111766,0.073697909
2017,E14001057,Wyre and Preston North,72319,North West,C,Conservative,30684,58.28%,52646,C,12246,23.26%,0.036942887,0.99615592,0.073601752
2017,E14000617,Cambridge,78544,East,Lab,Labour,29032,51.90%,55934,Lab,12661,22.64%,0.039623414,0.917205643,0.072685637
2017,W07000063,Montgomeryshire,50755,Wales,C,Conservative,18075,51.80%,34891,C,9285,26.61%,0.025384177,1.419387252,0.072059954
2017,E14000668,Doncaster Central,71718,Yorkshire and The Humber,Lab,Labour,24915,57.91%,43024,Lab,10131,23.55%,0.035777099,1.004503751,0.07187646
2017,E14000553,Bermondsey and Old Southwark,87282,London,Lab,Labour,31161,53.25%,58521,Lab,12972,22.17%,0.041761343,0.825382095,0.068938129
2017,E14000530,Aldershot,76205,South East,C,Conservative,26955,55.06%,48955,C,11478,23.45%,0.036185325,0.945357916,0.068416167
2017,N06000011,Newry and Armagh,78266,Northern Ireland,SF,Sinn Fein,25666,47.90%,53579,SF,12489,23.31%,0.036742844,0.920463547,0.067640896
2017,E14000984,Sutton and Cheam,70404,London,C,Conservative,26567,51.12%,51970,C,12698,24.43%,0.032397313,1.02325152,0.066301199
2017,E14001025,Wellingborough,79254,East Midlands,C,Conservative,30579,57.44%,53240,C,12460,23.40%,0.036358246,0.908988821,0.066098478
2017,E14000956,"Southampton, Test",70199,South East,Lab,Labour,27509,58.65%,46903,Lab,11503,24.53%,0.032066078,1.02623969,0.065814965
2017,E14000663,Derby South,69918,East Midlands,Lab,Labour,26430,58.34%,45306,Lab,11248,24.83%,0.031000828,1.030364141,0.063884283
2017,E14000933,South Basildon and East Thurrock,73537,East,C,Conservative,26811,56.90%,47120,C,11490,24.38%,0.032574784,0.979656499,0.063824198
2017,E14000706,Fylde,65937,North West,C,Conservative,27334,58.82%,46467,C,11805,25.41%,0.02905626,1.092573214,0.063492183
2017,E14000894,Ribble Valley,77968,North West,C,Conservative,31919,57.82%,55200,C,13199,23.91%,0.034348218,0.923981633,0.063474244
2017,E14000628,Chelmsford,81032,East,C,Conservative,30525,53.68%,56860,C,13572,23.87%,0.03451048,0.889043835,0.061362659
2017,E14000917,Selby and Ainsty,75918,Yorkshire and The Humber,C,Conservative,32921,58.71%,56076,C,13772,24.56%,0.031942619,0.948931742,0.060622731
2017,E14000659,Dartford,78506,South East,C,Conservative,31210,57.56%,54224,C,13186,24.32%,0.032819794,0.917649606,0.060234143
2017,E14000674,Ealing Central and Acton,74200,London,Lab,Labour,33037,59.70%,55342,Lab,13807,24.95%,0.030580907,0.970902965,0.059382187
2017,E14000858,North West Leicestershire,75362,East Midlands,C,Conservative,31153,58.19%,53541,C,13286,24.81%,0.031042889,0.955932698,0.059349825
2017,W07000053,Torfaen,61839,Wales,Lab,Labour,22134,57.60%,38429,Lab,10240,26.65%,0.025284594,1.164976795,0.058911931
2017,E14000641,City of Durham,71132,North East,Lab,Labour,26772,55.40%,48324,Lab,12364,25.59%,0.028474744,1.012779059,0.057677248
2017,E14001036,Westminster North,63846,London,Lab,Labour,25934,59.90%,43295,Lab,11512,26.59%,0.02544615,1.128355731,0.057424618
2017,E14000757,Huntingdon,84273,East,C,Conservative,32915,55.12%,59720,C,14475,24.24%,0.033113453,0.854852681,0.056614249
2017,E14000685,Eastleigh,81212,South East,C,Conservative,28889,50.43%,57280,C,14179,24.75%,0.031254955,0.887073339,0.055450875
2017,E14000598,"Brighton, Pavilion",75486,South East,Green,Green,30139,52.25%,57677,Green,14689,25.47%,0.028853368,0.954362398,0.055073139
2017,E14001060,Yeovil,82916,South West,C,Conservative,32369,54.49%,59404,C,14723,24.78%,0.031147723,0.868843167,0.054124973
2017,E14000934,South Cambridgeshire,85257,East,C,Conservative,33631,51.80%,64924,C,15952,24.57%,0.031904218,0.844986335,0.053917256
2017,E14000554,Berwick-upon-Tweed,58807,North East,C,Conservative,22145,52.46%,42212,C,11781,27.91%,0.021950415,1.225041237,0.053780328
2017,E14000986,Tamworth,71308,West Midlands,C,Conservative,28748,61.02%,47110,C,12347,26.21%,0.026554901,1.010279352,0.053655737
2017,E14000732,Harrow West,69797,London,Lab,Labour,30640,60.85%,50355,Lab,13314,26.44%,0.025875521,1.032150379,0.053414859
2017,E14000556,Beverley and Holderness,80657,Yorkshire and The Humber,C,Conservative,32499,58.37%,55678,C,14042,25.22%,0.029664956,0.893177282,0.052992129
2017,E14000538,Aylesbury,82546,South East,C,Conservative,32313,55.01%,58743,C,14696,25.02%,0.03034567,0.872737625,0.052967615
2017,W07000079,Cardiff West,66775,Wales,Lab,Labour,26425,56.67%,46629,Lab,12551,26.92%,0.024530931,1.078861849,0.052930972
2017,W07000047,Swansea West,56892,Wales,Lab,Labour,22278,59.76%,37282,Lab,10598,28.43%,0.020714427,1.266276454,0.052460382
2017,E14000906,"Ruislip, Northwood and Pinner",73427,London,C,Conservative,30555,57.22%,53400,C,13980,26.18%,0.026641583,0.98112411,0.052277399
2017,E14000949,South West Bedfordshire,79658,East,C,Conservative,32961,59.25%,55635,C,14168,25.47%,0.028858885,0.904378719,0.052198724
2017,E14000599,Bristol East,72415,South West,Lab,Labour,30847,60.72%,50799,Lab,13394,26.37%,0.026089739,0.994835324,0.051909988
2017,E14001001,Totnes,68914,South West,C,Conservative,26972,53.65%,50270,C,13477,26.81%,0.024828056,1.045375395,0.051909279
2017,E14000596,Brigg and Goole,66069,Yorkshire and The Humber,C,Conservative,27219,60.41%,45057,C,12363,27.44%,0.023138257,1.090390349,0.050459464
2017,E14000920,Sheffield South East,68945,Yorkshire and The Humber,Lab,Labour,25520,58.54%,43596,Lab,11798,27.06%,0.024134712,1.044905359,0.05043698
2017,E14000988,Taunton Deane,85457,South West,C,Conservative,33333,52.87%,63053,C,15887,25.20%,0.029743975,0.843008765,0.050148863
2017,E14000756,Huddersfield,67037,Yorkshire and The Humber,Lab,Labour,26470,60.39%,43834,Lab,12005,27.39%,0.023271222,1.074645345,0.050016621
2017,E14001058,Wyre Forest,77758,West Midlands,C,Conservative,29859,58.40%,51129,C,13334,26.08%,0.026943584,0.926477018,0.049925222
2017,E14000959,Spelthorne,72641,South East,C,Conservative,28692,57.25%,50115,C,13425,26.79%,0.024886084,0.991740202,0.049361061
2017,W07000075,Pontypridd,60564,Wales,Lab,Labour,22103,55.40%,39894,Lab,11448,28.70%,0.020098619,1.189502014,0.047814696
2017,N06000010,Mid Ulster,68485,Northern Ireland,SF,Sinn Fein,25455,54.51%,46694,SF,12890,27.61%,0.02271031,1.051923779,0.04777903
2017,E14000937,South East Cambridgeshire,86121,East,C,Conservative,33601,53.33%,63002,C,16158,25.65%,0.028280314,0.836509098,0.04731348
2017,E14000998,Tooting,77971,London,Lab,Labour,34694,59.64%,58171,Lab,15458,26.57%,0.025492638,0.923946083,0.047107646
2017,E14000623,Central Devon,74370,South West,C,Conservative,31278,54.07%,57844,C,15680,27.11%,0.024012635,0.968683609,0.046521292
2017,E14000574,Blaydon,68459,North East,Lab,Labour,26979,56.11%,48084,Lab,13477,28.03%,0.021660022,1.052323288,0.045586691
2017,E14000537,Ashton-under-Lyne,65751,North West,Lab,Labour,24005,60.36%,39773,Lab,11295,28.40%,0.020779313,1.095663944,0.045534287
2017,E14000771,Kingston upon Hull East,65959,Yorkshire and The Humber,Lab,Labour,21355,58.29%,36638,Lab,10396,28.37%,0.020834662,1.092208796,0.045511602
2017,E14000900,Romford,73493,London,C,Conservative,29671,59.41%,49944,C,13778,27.59%,0.022757064,0.980243016,0.044614906
2017,E14000704,Folkestone and Hythe,86272,South East,C,Conservative,32197,54.79%,58761,C,15411,26.23%,0.026502293,0.835044974,0.044261214
2017,E14000727,Hampstead and Kilburn,82957,London,Lab,Labour,34464,59.01%,58407,Lab,15560,26.64%,0.025301309,0.868413757,0.04394401
2017,E14000664,Derbyshire Dales,64430,East Midlands,C,Conservative,29744,60.00%,49571,C,14327,28.90%,0.019640356,1.118128201,0.043920873
2017,E14000734,Harwich and North Essex,71294,East,C,Conservative,29921,58.51%,51141,C,14356,28.07%,0.02155505,1.01047774,0.043561797
2017,W07000045,Llanelli,59434,Wales,Lab,Labour,21568,53.46%,40342,Lab,12024,29.81%,0.017750781,1.212117643,0.04303207
2017,W07000076,Caerphilly,64381,Wales,Lab,Labour,22491,54.46%,41297,Lab,12078,29.25%,0.018896568,1.118979202,0.042289734
2017,E14000859,North West Norfolk,72062,East,C,Conservative,29408,60.25%,48811,C,13788,28.25%,0.021133558,0.999708584,0.042254799
2017,E14000999,Torbay,75931,South West,C,Conservative,27141,53.04%,51174,C,14283,27.91%,0.021946648,0.948769277,0.041644611
